concept_id,irrCI,irrP,irrFdr,concept_name,domain_id
1703063,8.61 (4.68-15.8),4.78707163972789e-12,2.59555024306046e-08,valganciclovir,Drug
253790,25.2 (10.1-63),5.37508798455813e-12,2.91437270522742e-08,Pneumonia due to Klebsiella pneumoniae,Condition
19117912,7.42 (3.7-14.9),1.56648917150266e-08,8.49350428788742e-05,immunoglobulin G,Drug
253797,5.08 (2.82-9.16),6.4108094493858e-08,0.000347594088345698,Post-inflammatory pulmonary fibrosis,Condition
40479583,9.08 (4.08-20.2),6.81468436049927e-08,0.00036949218602627,Iatrogenic pneumothorax,Condition
45763750,7.57 (3.62-15.8),7.3276974495444e-08,0.000397307755714297,Idiopathic pulmonary fibrosis,Condition
433740,4.97 (2.74-9.01),1.3525218589346e-07,0.00073333735191434,Immunodeficiency disorder,Condition
4207623,10.7 (4.25-26.8),4.72375806964102e-07,0.00256122162535936,Lung transplant rejection,Condition
199991,6.16 (3.03-12.5),4.81224566564313e-07,0.00260919959991171,Disorder of transplanted kidney,Condition
252351,10.7 (4.24-26.9),4.90081678300326e-07,0.00265722285974437,Pneumonia due to Pseudomonas,Condition
1836430,2.79 (1.86-4.18),6.72554722164523e-07,0.00364659170357604,sulfamethoxazole,Drug
19003999,4.56 (2.48-8.4),1.08674708133518e-06,0.00589234267499935,mycophenolate mofetil,Drug
4038838,6.68 (3.09-14.4),1.33423787453998e-06,0.00723423775575577,Non-Hodgkin's lymphoma (clinical),Condition
4049659,17.4 (5.46-55.5),1.35599278389284e-06,0.00735219287426698,Subcortical hemorrhage,Condition
432289,7.7 (3.31-17.9),2.19108363490608e-06,0.0118800554684608,Drug-induced neutropenia,Condition
201826,2.9 (1.87-4.5),2.22590217327299e-06,0.0120688415834862,Type 2 diabetes mellitus,Condition
950637,3.67 (2.13-6.32),2.61371625881117e-06,0.0141715695552742,tacrolimus,Drug
132797,3.39 (2.03-5.69),3.38266760479396e-06,0.0183408237531929,Sepsis,Condition
19049105,2.6 (1.74-3.89),3.41788976225016e-06,0.0185317982909204,potassium chloride,Drug
437677,2.61 (1.74-3.91),3.71019023695543e-06,0.0201166514647723,Abnormal findings on diagnostic imaging of lung,Condition
437390,3.19 (1.95-5.22),3.84287217141331e-06,0.020836052913403,Hypoxemia,Condition
443729,4.57 (2.4-8.7),3.88143641350878e-06,0.0210451482340446,Peripheral circulatory disorder due to type 2 diabetes mellitus,Condition
4001298,15.5 (4.82-49.7),4.16855314340304e-06,0.0226018951435313,Osteomyelitis of vertebra,Condition
254061,2.82 (1.81-4.41),5.26965109010996e-06,0.0285720482105762,Pleural effusion,Condition
257755,7.15 (3.06-16.7),5.77687100839104e-06,0.0313221946074962,Complication of transplanted lung,Condition
4313828,10.7 (3.82-29.9),6.35646766559175e-06,0.0344647676828385,Rheumatic mitral stenosis,Condition
956874,2.69 (1.75-4.14),7.18019578455587e-06,0.0389310215438619,furosemide,Drug
134305,14.2 (4.4-45.8),8.9922890885867e-06,0.0487561914383171,Acute lymphoid leukemia,Condition
